aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Commuter Rail,Fairmount Line,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.107879623,3707
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Brookline Village to Beaconsfield,Fares,Fare Product,Pay-as-you-go,0.313931246,6226
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Downtown Crossing,Other Demographics,Gender,Non-Binary,0.019054665,8911
Reporting Group,Commuter Rail,Kingston Line,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.076482631,4394
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Fields Corner,Race and Ethnicity,Race,Asian,0.12627645,11053
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Park Street,Race and Ethnicity,Race,Asian,0.157424459,11257
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Central,Other Demographics,Gender,Prefer not to say,0.006804014,10505
Reporting Group,Bus,Brighton/Allston/Watertown - Boston,Other Demographics,Ability to Understand English,Sometimes,0.027329415,2035
Reporting Group,Commuter Rail,Lowell Line,Fares,Fare Product,Monthly Pass,0.204077272,4296
Service Mode,Rapid Transit or Bus Rapid Transit,All Rapid Transit or Bus Rapid Transit,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.106073195,13332
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Boylston,Fares,Fare Product,Monthly Pass,0.332371603,6078
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Downtown Crossing,Other Demographics,Ability to Understand English,Often,0.047554555,10899
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Griggs Street to Warren Street,Race and Ethnicity,Race,White,0.531512057,6803
Reporting Group,Bus,16,Vehicles,Usable Cars,1,0.36583866,625
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Government Center,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.103922412,7140
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,JFK/UMass,Access Mode,Access to First MBTA Service,The RIDE,0.008787089,11077
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Harvard,Vehicles,Usable Cars,3 or more,0.035432877,11052
Reporting Group,Bus,Somerville/Medford/Charlestown - East,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.018459829,3234
Reporting Group,Bus,39,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.014513905,1394
Reporting Group,Bus,4 & 7,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.719624097,1311
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Red Line,All Red Line,Alternative Modes,Alternative Mode,Other,0.004000588,12613
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Chinatown,Race and Ethnicity,Title VI Minority,No,0.337686559,8748
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End - East,Race and Ethnicity,Race,Prefer not to say,0.027181569,3252
Reporting Group,Commuter Rail,Fairmount Line,Alternative Modes,Alternative Mode,Other,0.0,3895
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Cars per Capita,1 or more,0.136525656,7956
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Airport,Vehicles,Usable Cars,0,0.430662006,4920
Reporting Group,Bus,Chelsea/East Boston/Lynn/Revere - Core,Other Demographics,Ability to Understand English,Always,0.68383277,2617
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Fenway and Longwood,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.130680234,6670
Reporting Group,Bus,4 & 7,Fares,Fare Product,Monthly Pass,0.478957152,1454
Reporting Group,Bus,SL4,Race and Ethnicity,Race,White,0.414557347,3207
Reporting Group,Commuter Rail,Fitchburg Line,Alternative Modes,Alternative Mode,Walk,0.02722133,3956
Reporting Group,Bus,86,Other Demographics,Age,65 or older,0.029231406,2146
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Shawmut,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.504140462,11802
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Forest Hills,Race and Ethnicity,Race,White,0.385130948,8963
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Sullivan Square,Fares,Fare Product,Semester Pass,0.004264619,9910
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Wood Island,Vehicles,Cars per Capita,1 or more,0.052605193,5859
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Brigham Circle to Heath Street,Race and Ethnicity,Race,Prefer not to say,0.022431493,6177
Reporting Group,Bus,Cambridge/Arlington - Alewife,Vehicles,Usable Cars,0,0.374618307,2555
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Wood Island,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.016342715,5655
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Blue Line,All Blue Line,Vehicles,Usable Cars,0,0.444378862,12423
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Aquarium,Race and Ethnicity,Race,Other,0.084846791,4885
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Community College,Other Demographics,Ability to Understand English,Often,0.064900574,8456
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Wonderland,Alternative Modes,Used Alternative Mode,No,0.917391435,5749
