Month,Year,daytype,All Bus,Blue Line,Bus,Commuter Rail,Ferry,Green Line,Heavy Rail,Light Rail,Mattapan Line,Orange Line,Private Bus,Red Line,Silver Line,The RIDE,Trackless Trolley
February,2024,Total,249330.0,38868.0,224302.0,79014.0,2297.0,64959.0,215056.0,67300.0,2341.0,86163.0,,90025.0,25028.0,3056.0,
February,2024,Weekday,294668.0,43389.0,266274.0,99702.0,3149.0,69726.0,249307.0,69635.0,2808.0,100625.0,,105779.0,28394.0,3753.0,
January,2019,Saturday,209198.0,33935.0,179383.0,18157.0,,97230.0,219470.0,97230.0,,86297.0,,99238.0,24118.0,3167.0,5696.0
January,2019,Sunday,131818.0,24009.0,113336.0,12964.0,,66054.0,152608.0,66054.0,,56909.0,,71690.0,18482.0,2122.0,
January,2019,Total,297912.0,51822.0,258584.0,87272.0,3276.0,143306.0,398931.0,143306.0,,155662.0,2329.0,191446.0,29410.0,4846.0,7589.0
January,2019,Weekday,376880.0,60860.0,328640.0,120768.0,4616.0,168538.0,489202.0,168538.0,,191338.0,2732.0,237004.0,34696.0,5669.0,10812.0
January,2020,Saturday,149236.0,27382.0,129525.0,16746.0,,68482.0,150900.0,68482.0,,48227.0,,75292.0,16403.0,2841.0,3308.0
January,2020,Sunday,130142.0,26861.0,112028.0,11874.0,,65675.0,143958.0,65675.0,,42834.0,,74264.0,18114.0,2455.0,
January,2020,Total,315839.0,56833.0,273999.0,88770.0,4822.0,141315.0,422253.0,141315.0,,162637.0,3126.0,202783.0,31395.0,3674.0,7319.0
January,2020,Weekday,392563.0,66532.0,340621.0,119342.0,5085.0,165402.0,522824.0,165402.0,,205801.0,5100.0,250490.0,37077.0,5580.0,9765.0
January,2021,Saturday,116223.0,14463.0,102392.0,3532.0,,27201.0,76166.0,27201.0,,29303.0,710.0,32399.0,10909.0,,2212.0
January,2021,Sunday,77925.0,11368.0,68012.0,3207.0,,21221.0,60288.0,21221.0,,22873.0,415.0,26047.0,9498.0,,
January,2021,Total,124976.0,18585.0,110607.0,8256.0,202.0,34093.0,104011.0,34093.0,,40509.0,964.0,44917.0,11059.0,1667.0,2347.0
January,2021,Weekday,152817.0,21069.0,135620.0,11697.0,330.0,38616.0,121258.0,38616.0,,47386.0,1276.0,52803.0,12673.0,2075.0,3247.0
January,2022,Saturday,122663.0,16878.0,106078.0,11504.0,,43695.0,96416.0,43695.0,,38688.0,938.0,40850.0,13314.0,,2334.0
January,2022,Sunday,90551.0,15229.0,78021.0,7838.0,,41974.0,90520.0,41974.0,,35543.0,458.0,39749.0,12072.0,,
